x_ctrl_pts          CP
0.999958          0.989967
0.997927          -1.73796
0.990004          -1.3721
0.974288          -1.61333
0.951043          -1.29207
0.920655          -1.45877
0.883622          -1.31094
0.840553          -1.37145
0.792145          -1.30623
0.739181          -1.32313
0.682507          -1.28937
0.623025          -1.28904
0.561675          -1.26736
0.49942          -1.26097
0.437228          -1.24682
0.376286          -1.24133
0.317553          -1.22783
0.261679          -1.21614
0.209455          -1.19847
0.161645          -1.18596
0.118962          -1.16249
0.0820535          -1.14213
0.0515          -1.07763
0.0278025          -0.967525
0.01137          -0.524967
0.0025075          0.446297
0.001435          0.898865
0.008281          0.148975
0.0230175          -0.380381
0.045458          -0.589985
0.0752845          -0.719824
0.112045          -0.780449
0.155158          -0.830853
0.20392          -0.857074
0.257518          -0.885735
0.315049          -0.902285
0.375515          -0.927679
0.437686          -0.945967
0.50058          -0.972751
0.563411          -0.985748
0.625174          -1.01379
0.684892          -1.02017
0.741623          -1.06025
0.79448          -1.05234
0.842644          -1.12427
0.88537          -1.0781
0.922007          -1.23108
0.951998          -1.08767
0.974892          -1.40862
0.990346          -1.19798
0.998131          -1.55625
1.00004          0.801924
