x_ctrl_pts          CP
1.0          0.982189
0.999708          -1.10084
0.998541          -1.44343
0.996209          -1.52798
0.992719          -1.43746
0.988078          -1.47272
0.982297          -1.3918
0.975389          -1.40592
0.967372          -1.35864
0.958262          -1.35847
0.948082          -1.33068
0.936856          -1.3243
0.92461          -1.30641
0.911372          -1.29822
0.897173          -1.28525
0.882046          -1.277
0.866027          -1.26677
0.849154          -1.25899
0.831465          -1.25045
0.813001          -1.24329
0.793806          -1.23576
0.773926          -1.22918
0.753406          -1.22238
0.732294          -1.21625
0.710639          -1.20987
0.688492          -1.20412
0.665906          -1.19808
0.642931          -1.19257
0.619623          -1.18672
0.596035          -1.18146
0.572223          -1.17575
0.548242          -1.17066
0.52415          -1.16508
0.5          -1.16016
0.475851          -1.15467
0.451758          -1.14998
0.427777          -1.1446
0.403965          -1.14013
0.380377          -1.13484
0.357069          -1.13056
0.334095          -1.12533
0.311508          -1.12132
0.289361          -1.11612
0.267706          -1.11223
0.246594          -1.10683
0.226074          -1.10303
0.206194          -1.09723
0.186999          -1.09315
0.168536          -1.08644
0.150846          -1.08157
0.133973          -1.07321
0.117954          -1.06665
0.102827          -1.05478
0.0886285          -1.04465
0.07539          -1.02636
0.0631435          -1.00866
0.0519175          -0.97722
0.041738          -0.943392
0.0326285          -0.883357
0.0246105          -0.812221
0.017703          -0.686394
0.011922          -0.526562
0.007281          -0.252955
0.0037905          0.0835871
0.001459          0.534479
0.000292          0.875344
0.000292          0.997916
0.001459          0.848417
0.0037905          0.524432
0.007281          0.224392
0.011922          -0.0493118
0.017703          -0.235326
0.0246105          -0.390539
0.0326285          -0.493743
0.041738          -0.582226
0.0519175          -0.642585
0.0631435          -0.696785
0.07539          -0.734989
0.0886285          -0.770922
0.102827          -0.796879
0.117954          -0.822452
0.133973          -0.841415
0.150846          -0.860653
0.168536          -0.875375
0.186999          -0.890853
0.206194          -0.902993
0.226074          -0.916021
0.246594          -0.926543
0.267706          -0.93801
0.289361          -0.947613
0.311508          -0.958069
0.334095          -0.967024
0.357069          -0.976854
0.380377          -0.985505
0.403965          -0.994932
0.427777          -1.00334
0.451758          -1.01245
0.475851          -1.02074
0.5          -1.02964
0.52415          -1.03789
0.548242          -1.04664
0.572223          -1.0548
0.596035          -1.06348
0.619623          -1.0716
0.642931          -1.08019
0.665906          -1.08839
0.688492          -1.097
0.710639          -1.10526
0.732294          -1.11403
0.753406          -1.12252
0.773926          -1.13155
0.793806          -1.14033
0.813001          -1.14995
0.831465          -1.15919
0.849154          -1.16968
0.866027          -1.1794
0.882046          -1.19149
0.897173          -1.20158
0.911372          -1.2163
0.92461          -1.22632
0.936856          -1.24579
0.948082          -1.25397
0.958262          -1.28322
0.967372          -1.28528
0.975389          -1.33372
0.982297          -1.32165
0.988078          -1.40347
0.992719          -1.37041
0.996209          -1.46167
0.998541          -1.3799
0.999708          -1.04278
1.0          0.92578
