Angle of attack : 5.0
x_ctrl_pts          CP
0.999958          -8.84867
0.997927          -3.0723
0.990004          -1.26495
0.974288          -0.858093
0.951043          -0.607143
0.920655          -0.453089
0.883622          -0.355767
0.840553          -0.292135
0.792145          -0.249432
0.739181          -0.220614
0.682507          -0.201698
0.623025          -0.190073
0.561675          -0.183891
0.49942          -0.181116
0.437228          -0.177848
0.376286          -0.175252
0.317553          -0.178851
0.261679          -0.186096
0.209455          -0.192909
0.161645          -0.195174
0.118962          -0.187238
0.0820535          -0.159521
0.0515          -0.0919738
0.0278025          0.0645222
0.01137          0.425538
0.0025075          0.963044
0.001435          0.572536
0.008281          -0.245503
0.0230175          -0.554296
0.045458          -0.642184
0.0752845          -0.661195
0.112045          -0.652443
0.155158          -0.62696
0.20392          -0.588095
0.257518          -0.537258
0.315049          -0.475027
0.375515          -0.399382
0.437686          -0.319022
0.50058          -0.241647
0.563411          -0.165926
0.625174          -0.0897994
0.684892          -0.0118399
0.741623          0.0697169
0.79448          0.157078
0.842644          0.252873
0.88537          0.360577
0.922007          0.483831
0.951998          0.624926
0.974892          0.777883
0.990346          0.911222
0.998131          0.99806
1.00004          -8.76371
