Angle of attack : 9.0
x_ctrl_pts          CP
0.999958          0.969837
0.998702          -1.32212
0.993855          -1.09959
0.98421          -1.66163
0.969867          -1.24396
0.95097          -1.54924
0.927712          -1.34714
0.900327          -1.47021
0.869088          -1.38969
0.834306          -1.43982
0.796327          -1.40937
0.755524          -1.43252
0.712297          -1.42286
0.667067          -1.43617
0.620272          -1.4357
0.572364          -1.44604
0.5238          -1.45055
0.475044          -1.46197
0.426558          -1.4721
0.378984          -1.49045
0.332778          -1.5084
0.288177          -1.52965
0.245569          -1.54989
0.205333          -1.57951
0.167829          -1.609
0.133399          -1.65599
0.102357          -1.70148
0.075          -1.77794
0.0515915          -1.83932
0.032368          -1.94257
0.0175305          -1.89164
0.0072425          -1.64382
0.001627          -0.292039
0.0007805          0.822676
0.0047725          0.901596
0.013607          0.559581
0.027222          0.215662
0.045508          0.00593213
0.0683045          -0.163498
0.095402          -0.267384
0.126543          -0.357106
0.16142          -0.413968
0.199685          -0.467698
0.240947          -0.502437
0.284783          -0.538868
0.330738          -0.563482
0.378329          -0.593686
0.426889          -0.619158
0.475948          -0.650414
0.525209          -0.672322
0.574191          -0.699013
0.622415          -0.716591
0.669417          -0.744083
0.714743          -0.756763
0.757959          -0.790465
0.798655          -0.793477
0.836444          -0.844355
0.870971          -0.823745
0.901914          -0.918467
0.928983          -0.834112
0.951929          -1.0377
0.970542          -0.791873
0.984652          -1.18988
0.994131          -0.710859
0.998891          -0.922682
1.00004          0.475183
