Angle of attack : 0.0
x_ctrl_pts          CP
0.982973          1.0
0.916595          0.478018
0.726426          -0.815463
0.438149          -2.20527
0.0906973          -2.96595
-0.269003          -2.70043
-0.592374          -1.54733
-0.835741          -0.108523
-0.966236          0.864944
-0.966236          0.864944
-0.835741          -0.108523
-0.592374          -1.54733
-0.269003          -2.70043
0.0906973          -2.96595
0.438149          -2.20527
0.726426          -0.815463
0.916595          0.478018
