Angle of attack : 0.0
x_ctrl_pts          CP
1.0          0.995874
0.999708          -0.66425
0.998541          -0.0131582
0.996209          0.163962
0.992719          0.187248
0.988078          0.179075
0.982297          0.163571
0.975389          0.145705
0.967372          0.127578
0.958262          0.10974
0.948082          0.0923377
0.936856          0.0754954
0.92461          0.0593207
0.911372          0.0437505
0.897173          0.0286191
0.882046          0.01401
0.866027          -0.000170319
0.849154          -0.014013
0.831465          -0.0274714
0.813001          -0.0406674
0.793806          -0.0536814
0.773926          -0.0665089
0.753406          -0.0791977
0.732294          -0.0918231
0.710639          -0.104473
0.688492          -0.117105
0.665906          -0.129787
0.642931          -0.142581
0.619623          -0.155505
0.596035          -0.168508
0.572223          -0.181707
0.548242          -0.195055
0.52415          -0.208525
0.5          -0.222164
0.475851          -0.235893
0.451758          -0.24967
0.427777          -0.263483
0.403965          -0.277254
0.380377          -0.290973
0.357069          -0.304554
0.334095          -0.317848
0.311508          -0.330761
0.289361          -0.34322
0.267706          -0.355201
0.246594          -0.366439
0.226074          -0.376822
0.206194          -0.386272
0.186999          -0.394585
0.168536          -0.40161
0.150846          -0.407008
0.133973          -0.410565
0.117954          -0.412117
0.102827          -0.411053
0.0886285          -0.40675
0.07539          -0.398518
0.0631435          -0.385023
0.0519175          -0.364552
0.041738          -0.334471
0.0326285          -0.290617
0.0246105          -0.226581
0.017703          -0.132552
0.011922          0.00502489
0.007281          0.202636
0.0037905          0.46635
0.001459          0.760042
0.000292          0.969936
0.000292          0.969936
0.001459          0.760042
0.0037905          0.46635
0.007281          0.202636
0.011922          0.00502489
0.017703          -0.132552
0.0246105          -0.226581
0.0326285          -0.290617
0.041738          -0.334471
0.0519175          -0.364552
0.0631435          -0.385023
0.07539          -0.398518
0.0886285          -0.40675
0.102827          -0.411053
0.117954          -0.412117
0.133973          -0.410565
0.150846          -0.407008
0.168536          -0.40161
0.186999          -0.394585
0.206194          -0.386272
0.226074          -0.376822
0.246594          -0.366439
0.267706          -0.355201
0.289361          -0.34322
0.311508          -0.330761
0.334095          -0.317848
0.357069          -0.304554
0.380377          -0.290973
0.403965          -0.277254
0.427777          -0.263483
0.451758          -0.24967
0.475851          -0.235893
0.5          -0.222164
0.52415          -0.208525
0.548242          -0.195055
0.572223          -0.181707
0.596035          -0.168508
0.619623          -0.155505
0.642931          -0.142581
0.665906          -0.129787
0.688492          -0.117105
0.710639          -0.104473
0.732294          -0.0918231
0.753406          -0.0791977
0.773926          -0.0665089
0.793806          -0.0536814
0.813001          -0.0406674
0.831465          -0.0274714
0.849154          -0.014013
0.866027          -0.000170319
0.882046          0.01401
0.897173          0.0286191
0.911372          0.0437505
0.92461          0.0593207
0.936856          0.0754954
0.948082          0.0923377
0.958262          0.10974
0.967372          0.127578
0.975389          0.145705
0.982297          0.163571
0.988078          0.179075
0.992719          0.187248
0.996209          0.163962
0.998541          -0.0131582
0.999708          -0.66425
1.0          0.995874
