Angle of attack : 5.0
x_ctrl_pts          CP
1.0          0.76353
0.999418          -0.472007
0.997429          0.456183
0.993459          0.659043
0.987524          0.657283
0.97965          0.718336
0.969869          0.706418
0.958223          0.732371
0.944759          0.727601
0.929533          0.739026
0.912608          0.737841
0.894054          0.743222
0.873947          0.743355
0.852369          0.746118
0.829406          0.746594
0.805153          0.748114
0.779708          0.748571
0.753173          0.749412
0.725653          0.749716
0.697259          0.75012
0.668105          0.750213
0.638305          0.750331
0.607978          0.750239
0.577244          0.750178
0.546221          0.749965
0.515033          0.749873
0.4838          0.749728
0.452643          0.749927
0.421684          0.750386
0.391141          0.751449
0.361158          0.752104
0.331751          0.752414
0.303          0.752401
0.275012          0.752693
0.247889          0.752871
0.221729          0.753816
0.196628          0.754795
0.172679          0.757113
0.149971          0.75962
0.128588          0.764262
0.108613          0.769376
0.090122          0.777933
0.0731885          0.787458
0.0578805          0.802766
0.0442605          0.820085
0.032386          0.847588
0.0223085          0.878574
0.014073          0.925128
0.007718          0.968451
0.003275          0.999938
0.0007675          0.96969
0.0002195          0.837889
0.0016545          0.708793
0.005081          0.58655
0.010492          0.544668
0.0178715          0.513373
0.027197          0.511491
0.0384375          0.507245
0.0515525          0.513016
0.066494          0.515169
0.0832055          0.522021
0.101622          0.526107
0.121671          0.533159
0.143271          0.53832
0.166335          0.545811
0.190767          0.551958
0.216465          0.560083
0.243321          0.56725
0.271222          0.576166
0.300048          0.584427
0.329679          0.594277
0.359988          0.603787
0.390823          0.615197
0.421959          0.626188
0.453295          0.637181
0.484806          0.646933
0.516363          0.656826
0.547841          0.666006
0.579114          0.675478
0.610057          0.684407
0.640548          0.693699
0.670466          0.702527
0.699693          0.711828
0.728114          0.720713
0.755618          0.730266
0.782098          0.739349
0.807451          0.749487
0.831579          0.758849
0.854389          0.770069
0.875794          0.779709
0.89571          0.792943
0.914064          0.802575
0.930784          0.819606
0.945807          0.82839
0.959078          0.85283
0.970547          0.859271
0.98017          0.897324
0.987911          0.902887
0.993742          0.957012
0.997642          0.984787
0.999595          0.903901
